0315;0220
Bounds;297.851805;55.123320;298.369773;55.578502
Aperture;12;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R1mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX12   ;SNR12   ;FLAG
2457266.63581;USNO 1454-0300108        ;I     ;298.014857; 55.451492;298.014851; 55.451351; 446.585; 336.624;13.720;415.0515;23.01716;0.1644;0.0019998;4.57180081;3.93053801;64.232963;5.42293E-002;5803.2852;22.63714;0000
2457266.63581;USNO 1453-0297478        ;I     ;297.855151; 55.322508;297.855250; 55.322402; 855.665;  53.455;13.730;410.5259;23.01716;0.1644;0.0015664;4.60002004;3.73662540;81.916525;6.86843E-002;4281.6596;16.89843;0000
2457266.63581;USNO 1453-0297992        ;I     ;298.200863; 55.374107;298.200656; 55.374167; 687.062; 671.902;13.740;414.9961;23.01716;0.1644;0.0015029;4.32949677;3.40588715;69.331878;7.49989E-002;4047.8332;16.00476;0000
2457266.63581;USNO 1452-0295860        ;I     ;297.988388; 55.231306;297.988378; 55.231297;1141.626; 294.843;13.740;414.0460;23.01716;0.1644;0.0023654;3.92335346;3.48741049;94.742632;4.67589E-002;5444.0502;21.29413;0000
2457266.63581;USNO 1454-0300112        ;I     ;298.018230; 55.424406;298.018167; 55.424312; 531.894; 343.286;13.740;414.7781;23.01716;0.1644;0.0019387;4.39324613;3.60516376;64.511844;5.21410E-002;5273.1221;20.65258;0000
2457266.63581;USNO 1451-0297535        ;I     ;298.264722; 55.173410;298.264651; 55.173426;1319.432; 794.291;13.740;413.4657;23.01716;0.1644;0.0019069;4.99460153;3.51918853;69.903520;5.64314E-002;5108.4711;20.03302;0001
2457266.63581;USNO 1455-0301204        ;I     ;297.980470; 55.561396;297.980334; 55.561489;  99.394; 272.080;13.790;434.8699;23.01716;0.1644;0.0009980;4.44510603;4.13634787;41.157493;1.30660E-001;4018.2017;15.89128;0001
2457266.63581;USNO 1451-0297061        ;I     ;297.973275; 55.143928;297.973113; 55.143818;1417.990; 269.534;13.830;413.4849;23.01716;0.1644;0.0022458;4.40657843;3.46558374;67.499696;4.93904E-002;5790.1416;22.58813;0000
2457266.63581;USNO 1455-0301484        ;I     ;298.154753; 55.523853;298.154799; 55.523701; 215.894; 584.729;13.840;423.3514;23.01716;0.1644;0.0013413;4.65063455;4.35679263;43.965847;8.01879E-002;4608.1340;18.14086;0000
2457266.63581;USNO 1453-0297513        ;I     ;297.877934; 55.391787;297.877930; 55.391689; 636.694;  92.767;13.850;412.7108;23.01716;0.1644;0.0000000;6.35618391;6.35011222; 0.000000;1.04077E+007;5029.5718;19.73559;0000
2457266.63581;USNO 1453-0298125        ;I     ;298.280373; 55.347914;298.280522; 55.348002; 768.019; 816.143;13.850;412.6641;23.01716;0.1644;0.0012375;4.52070473;3.39897242;61.542849;9.07317E-002;3526.7146;14.00146;0000
2457266.63581;USNO 1454-0299969        ;I     ;297.927459; 55.470537;297.927490; 55.470415; 387.587; 179.824;13.850;417.2894;23.01716;0.1644;0.0015389;4.74338652;4.31678824;24.285076;6.61179E-002;4903.7555;19.26057;0000
2457266.63581;USNO 1452-0296255        ;I     ;298.223615; 55.236462;298.223637; 55.236506;1121.158; 718.087;13.900;414.8441;23.01716;0.1644;0.0015762;4.57592663;3.23044221;68.429363;6.11612E-002;3796.3249;15.03992;0000
2457266.63581;USNO 1454-0300205        ;I     ;298.078317; 55.418971;298.078397; 55.418862; 548.162; 451.326;13.900;415.6052;23.01716;0.1644;0.0016878;4.88839356;4.08396315;62.256559;6.42531E-002;5657.3650;22.09248;0000
2457266.63581;USNO 1451-0297350        ;I     ;298.146192; 55.163549;298.146063; 55.163548;1352.951; 580.864;13.900;412.5484;23.01716;0.1644;0.0016781;4.47150253;3.10994228;62.020586;6.36578E-002;4223.7681;16.67747;0000
2457266.63581;USNO 1454-0300296        ;I     ;298.135978; 55.451928;298.135818; 55.451844; 443.066; 553.128;13.910;418.4074;23.01716;0.1644;0.0012785;4.02810350;3.09515894;69.067544;8.36097E-002;2799.1252;11.17712;0002
2457266.63581;USNO 1451-0297123        ;I     ;298.014132; 55.158941;298.014148; 55.158903;1369.787; 343.152;13.910;413.1854;23.01716;0.1644;0.0022673;4.21633495;3.42663684;76.804886;4.81431E-002;5359.7118;20.97778;0000
2457266.63581;USNO 1451-0297499        ;I     ;298.244184; 55.186903;298.243841; 55.186728;1277.880; 756.290;13.910;411.6405;23.01716;0.1644;0.0011800;4.43113591;3.37652350;60.450483;8.18046E-002;2831.8969;11.30503;0000
2457266.63581;USNO 1454-0300498        ;I     ;298.266670; 55.403317;298.266623; 55.403133; 594.286; 789.102;13.920;414.7891;23.01716;0.1644;0.0019086;4.28833521;3.33772259;43.522147;5.24834E-002;4478.0409;17.64652;0000
2457266.63581;USNO 1451-0297003        ;I     ;297.941030; 55.155461;297.941460; 55.154729;1383.967; 212.182;13.950;411.6065;23.01716;0.1644;0.0055533;3.52025813;0.42543610;148.72807;3.04765E-002;4107.5596;16.23334;0000
2457266.63581;USNO 1453-0297803        ;I     ;298.067559; 55.311689;298.067541; 55.311700; 886.619; 434.991;13.970;413.3210;23.01716;0.1644;0.0015415;4.09543588;3.55281867;30.998817;6.56676E-002;3874.2887;15.33941;0002
2457266.63581;USNO 1452-0295928        ;I     ;298.029773; 55.255692;298.029898; 55.255689;1064.020; 368.907;13.970;412.4878;23.01716;0.1644;0.0018219;5.21959446;3.36170821;59.274887;6.85247E-002;4928.9069;19.35560;0000
2457266.63581;USNO 1455-0301738        ;I     ;298.320964; 55.534348;298.320960; 55.534150; 179.526; 881.166;13.970;425.5161;23.01716;0.1644;0.0015915;4.55284237;3.69212639;42.905756;6.41043E-002;4577.0467;18.02282;0000
2457266.63581;USNO 1452-0295677        ;I     ;297.858617; 55.296792;297.858554; 55.296696; 936.780;  59.891;13.990;410.5325;23.01716;0.1644;0.0014229;4.49731842;3.89573271;81.840807;7.70511E-002;4165.5580;16.45510;0000
2457266.63581;USNO 1452-0296365        ;I     ;298.286183; 55.247588;298.285906; 55.247550;1084.992; 829.716;14.010;414.0156;23.01716;0.1644;0.0016203;4.40618287;3.14249690;67.209385;7.10913E-002;3998.8915;15.81730;0000
2457266.63581;USNO 1453-0297530        ;I     ;297.888925; 55.341657;297.888925; 55.341596; 794.703; 113.526;14.020;411.8916;23.01716;0.1644;0.0014837;4.68289697;3.83596474;75.681845;7.28559E-002;4567.8342;17.98783;0000
